Tanggal Berita,Judul,Penulis Berita,Isi Berita,Kategori,Link Berita
13 Mei 2020,Bryan Adams Minta Maaf Soal Cuitan Rasis Selama Pandemi,"Lintang Tribuana,          Jurnalis&CenterDotRabu 13 Mei 2020 11:04 WIB","  LOS ANGELES - Belum lama ini Bryan Adams menjadi sasaran nyinyir netizen lantaran mengunggah cuitan bernada rasis di tengah pandemi corona.  Bryan Adams lantas memberikan pernyataan maaf atas cuitannya yang bernada rasis tersebut. Bryan Adams membuat unggahan sambil menampilkan akustik 'Into The Fire', dia minta maaf.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Permintaan maaf untuk semua yang tersinggung karena unggahanku kemarin,"" katanya.  Baca Juga: Bon Jovi Batalkan Tur Bareng Bryan Adams karena Corona  Dilansir CNN, Rabu (13/5/2020), Adams seharusnya saat ini tampil di Royal Albert Hall, London. Namun karena pandemi, banyak pekerjaan Bryan Adams banyak yang tertunda atau dibatalkan.  ""Tidak ada pembelaan. Aku hanya ingin berkeluh kesah soal kekejaman hewan di pasar gelap yang mungkin jadi sumber virus serta mengkampanyekan veganisme,"" tambah Adams  Sebelumnya, cuitan Bryan Adams yang menyalahkan orang yang mengkonsumsi kelelawar akibat penyebab pandemi corona menuai kontroversi.   ""Malam ini seharusnya menjadi awal pertunjukan di Royal Albert Hall tapi terima kasih pada para pemakan kelelawar, pasar penjual hewan yang mengakibatkan virus, kini seluruh dunia terhambat dan ribuan orang menderita dan meninggal akibat virus ini. Selain 'terima kasih banyak', pesanku kepada mereka adalah jadilah vegan,"" demikian bunyi cuitan Bryan Adams yang kini sudah dihapus.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Film Kutuk, Bryan McKenzie Jadi Pemuda yang Sering Beramal untuk Panti Jompo Pemain Film Kutuk, Bryan McKenzie pada sesi pemotretan saat media visit ke Kantor Redaksi Okezone, Jakarta.              #Bryan Adams  #Rasis  #Corona  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/13/33/2213305/bryan-adams-minta-maaf-soal-cuitan-rasis-selama-pandemi
11 Mei 2020,Menanti Gebrakan Provinsi Lain Berpredikat Terbaik dalam Penanganan Covid-19,"                  Khafid Mardiyansyah,                Jurnalis&CenterDotSenin 11 Mei 2020 20:35 WIB","  PERSENTASE kasus pasien sembuh di Bali kini jadi salah satu yang tertinggi di Indonesia. Persentase kesembuhan pasien positif Covid-19 di Bali kini sudah mencapai 65 persen. Sedangkan di tingkat nasional, tingkat kesembuhan hanya 16 persen.  Persentase kesembuhan di Bali juga jauh lebih tinggi dibandingkan di seluruh dunia yang sebesar 33 persen. Saat ini, masih ada 101 pasien positif dirawat insentif dari total 300 kasus positif. googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Bahkan, Gubernur Bali, I Wayan Koster berani mematok target bahwa awal Juni mendatang pandemi Covid-19 di Bali sudah berakhir.  Prestasi ini bahkan sampai dibawa Presiden Joko Widodo di rapat kabinet beberapa waktu lalu. Orang Nomor Satu di Indonesia itu bahkan menyebut Bali sebagai daerah percontohan untuk penanganan Virus Corona. Rahasia Bali Gubernur Bali I Wayan Koster menjelaskan, pihaknya langsung menginstruksikan semua desa untuk membentuk satgas Gotong Royong di 1.493 desa di seluruh Bali begitu Virus Corona mulai masuk ke Indonesia. Menurut Koster, Satgas Gotong Royong jadi garda terdepan minimnya penularan virus Corona.   ""Satgas Gotong Royong di desa-desa adat ini telah menunjukkan hasil nyata untuk pencegahan penularan Covid-19 di wilayah desa adatnya masing-masing. Belum ada provinsi lain yang punya kelembagaan yang dikelola dengan baik seperti di Bali,"" pujinya.  Jauh sebelum Virus Corona merebak, Desa Adat di Bali rupanya telah melakukan isolasi mandiri untuk mencegah orang yang diduga membawa Covid-19 masuk ke wilayah mereka.  Salah satunya adalah Desa Adat Gelgel, Kecamatan Klungkung, Kabupaten Klungkung, Bali yang sudah menerapkan isolasi mandiri sejak 26 Maret 2020.  Sejak akhir Maret warga diminta untuk tak keluar pada pukul 20.00-06.00 Wita. Dalam penerapannya, sudah disepakati ada sanksi tegas, yakni denda Rp 100 ribu bagi yang tidak mengikuti teguran petugas dan wajib ngaturang pejati ke desa adat.  Bahkan, bila terus membandel, akan dikenakan penyaksag denda. Jumlahnya Rp 500 ribu ditambah wajib ngaturang banten guru piduka.  Bendesa Gelgel Putu Gde Arimbawa menjelaskan setiap aturan adat yang dibuat untuk menjaga keamanan dan keselamatan warga, selalu dipatuhi oleh krama setempat.  ""Ini akan lebih maksimal bila dilakukan bersama-sama,” jelas Arimbawa.  Tetap Waspada Walaupun Bali telah mencapai kemajuan yang luar biasa dalam penanganan Covid-19, Gubernur Bali, I Wayan Koster tetap meminta masyarakat untuk disiplin. Pihaknya juga memperketat pengawasan di semua lini.  Termasuk di dalamnya para pekerja migran/ABK yang pulang ke Bali, kini langsung diuji swab atau tidak lagi hanya di-rapid test. Mantan anggota DPR RI ini mengaku terus memantau perkembangan Covid-19 di Bali hari per hari dan detik per detik untuk belajar bagaimana mengelola dan menangani ini dengan baik.  “Hitungan kita, mudah-mudahan awal Juni mendatang pandemi Covid-19 ini di Bali bisa berakhir,” imbuhnya.   Koster menambahkan, negara-negara lain di dunia semuanya baru belajar untuk menangani pandemi Covid-19 yang belum pernah ada sebelumnya. Dikatakan bila tugas gubernur salah satunya yang paling penting adalah membuat kebijakan, instruksi hingga imbauan untuk mengatur warga guna mencegah penularan makin meluas.  Masyarakat dan juga lembaga desa adat di bawah, bertugas untuk melaksanakannya dengan baik. Di sisi lain, pihaknya juga sedang menyiapkan konsep mitigasi bencana menghadapi masalah-masalah seperti Covid-19 ini bilamana terjadi lagi di masa yang akan datang.  “Saya yakin saat ini alam sedang menguji kita terutama di Bali untuk berhenti sombong, berhenti angkuh dan egois,” katanya.  Menurut Koster, semua pihak di Bali perlu introspeksi. Terutama dalam kaitan selama ini mengeksploitasi pariwisata besar-besaran.  “Saat kondisi seperti sekarang, di mana orang-orang yang mengambil keuntungan selama berpuluh tahun? Untuk itu saya berkomitmen untuk mengerem cara-cara yang mengeksploitasi alam Bali lewat visi Nangun Sat Kerthi Loka Bali, dan desa adat harus menjadi pilar utamanya,” pungkasnya.  Jadi Sorotan Media Asing Tingginya angka kesembuhan dan kecilnya persentase angka kematian di Bali akibat Covid-19 sempat menjadi sebuah tulisan di Asian Times Financial.  Dalam sebuah tulisannya berjudul “Bali’s Mysterious Immunity to Covid-19,” (Imunitas Misterius Bali terhadap Covid-19) diulas tentang periode pandemi Covid-19 yang sudah berlangsung selama 3 bulan. Namun di Bali, situasinya terkendali.  Disebutkan pula dalam artikel yang dibuat oleh John Mcbeth itu, tidak ada cerita terkait RS yang penuh sesak oleh pasien Covid-19 di Bali.  Juga tidak ada peningkatan angka kremasi di sejumlah krematorium yang ada di Bali. Tak ada tanda-tanda bahwa virus ini mewabah di pulau yang berjuluk Pulau Dewata ini dengan populasi penduduk 4,2 juta.  Diketahui, pasien positif COVID-19 pada Senin (11/5/2020) masih bertambah. Namun, jumlahnya menurun dari sehari sebelumnya.   Dari data, jumlah kumulatif kasus di Bali mencapai 314 orang. Artinya ada penambahan 3 kasus baru dari sehari sebelumnya yang mencapai 311 kasus.  Sementara itu, pasien sembuh bertambah makin tinggi. Kumulatif kasus positif COVID-19 sembuh di Bali saat ini mencapai 210 kasus. Bertambah 6 orang dibandingkan sehari sebelumnya yang sebanyak 204 pasien sembuh.  Yang meninggal tidak mengalami perubahan, 4 orang. Datanya, 2 WNI dan 2 WNA.  Jika dipersentasekan, jumlah kasus sembuh kini mencapai 66,88 persen dari kumulatif kasus positif. Sementara untuk yang masih dirawat, persentasenya mencapai 31,85 persen atau sebanyak 100 orang. Sedangkan yang meninggal, persentasenya sebanyak 1,27 persen.   (kha)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				             #Berita Baik  #Bali  #Corona  #Covid-19  #Corona Virus  #Virus Corona    ",Nasional,https://nasional.okezone.com/read/2020/05/11/337/2212545/menanti-gebrakan-provinsi-lain-berpredikat-terbaik-dalam-penanganan-covid-19
11 Mei 2020,"Peduli Sesama, Uci Flowdea Bagikan Ribuan Sembako dan Masker","Adiyoga Priambodo,          Jurnalis&CenterDotSenin 11 Mei 2020 16:43 WIB","  JAKARTA - Pandemi corona yang tak kunjung usai membuat desainer Uci Flowdea turut prihatin. Tak sekedar berdiam diri, Uci Flowdea pun memberikan donasi dalam jumlah besar.  Tak tanggung-tanggung, Uci Flowdea berbagi 5.000 paket sembako dan 25.000 masker di wilayah Surabaya dan sekitarnya.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); “Kegiatan ini sudah dilakukan sebulan lebih, tepatnya sejak 1 April lalu,” tutur Uci Flowdea.  Baca Juga: Wujudkan Syukur pada Tuhan, Uci Flowdea Usung Lagu Rohani   Bukan tanpa alasan, Uci Flowdea merasa masih banyak kalangan masyarakat yang membutuhkan bantuan dan uluran tangan dari orang yang lebih mampu.  “Saya merasa iba dengan orang-orang yang kehilangan pekerjaan dan membantu dengan segenap hati saya agar mereka tercukupi,"" ungkapnya.  Selain itu, Uci juga menyasar kalangan ojek online yang juga terdampak cukup significant akibat pandemi corona.                                                          (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 9   Potret Aaliyah Massaid yang Gemar Pose Pamer Punggung Aaliyah mengenakan baju renang berwarna hijau. (Foto: Instagram @aaliyah.massaid)              #Uci Flowdea  #Donasi  #Corona  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/11/33/2212436/peduli-sesama-uci-flowdea-bagikan-ribuan-sembako-dan-masker
Tidak Ditemukan,"Kena Lockdown di Amerika, Dela Dewi Bersihkan Permadani hingga Potong Rumput di Rumah","Lintang Tribuana,          Jurnalis&CenterDotSenin 11 Mei 2020 01:01 WIB","  LOS ANGELES - Masa pandemi membuat masyarakat harus berkegiatan dari dalam rumah, tak terkecuali Dela Dewi. Memilih untuk menetap di Amerika, Dela Dewi mau tak mau mengikuti arahan pemerintah setempat yang menetapkan lockdown.  Dela Dewi pun menghimbau kepada masyarakat untuk tetap berada di rumah selama masa pandemi. Bukan tanpa alasan, Dela Dewi membuat ajakan tersebut tak cuma dilakukannya untuk memutus rantai penularan virus corona di Amerika Serikat, namun juga di Indonesia.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Meskipun Dela Dewi kini menjalankan aktivitas lockdown di Amerika Serikat, ia tetap berkarya di dunia fashion. Ia tetap tampil kece dan menawan berkat gaya busananya yang menarik.  Salah satunya adalah postingannya saat ia tengah membersihkan permadani di rumahnya. Dela Dewi mengakui ia tidak menggunakan jasa asisten di rumahnya sehingga ia melakukan pekerjaan rumah sendiri.  Baca Juga: Unggah Foto USG Bayinya, Irish Bella: Mommy's Little Angel ""Finishing with a clean sweep 🤩🤩,"" tulisnya.  Dela Dewi juga terlihat trendy dan kece saat sedang memotong rumput di halaman rumahnya. Aksi Dela Dewi memeragakan busana rancangannya selama berada di rumah juga menjadi inspirasi bagi banyak orang.  Selain itu, Dela Dewi juga memposting pose yang futuristik saat menggambarkan keinginan berbelanja buah-buahan yang dilakukannya tetap di dalam rumah.  ""VerifiedThe Joy of Grocery Shopping 🥬🥬🍋🍍 •••#quarantinelife #artist #astonmartin #hairstyles,"" tulis Dela Dewi.   Dela Dewi juga melakukan aktivitas memangkas daun pepohonan di halaman rumahnya. Tetap, dengan busana yang tak kalah menarik. Apa yang dilakukan oleh Dela Dewi tentu bukan tanpa alasan. Ia berharap apa yang dilakukannya dapt menjadi inspirasi bagi banyak orang terutama saat tengah menjalani lockdown atau psbb yang mengharuskan berkegiatan dari dalam rumah.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5    Ibnu Jamil Bakal Ramaikan Kompetisi Lari Gratis di Surabaya Bank BRI menggelar ajang kompetisi lari gratis bertajuk BRILian Run 2019.              #Dela Dewi  #Corona  #Lockdown  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/10/33/2211950/kena-lockdown-di-amerika-dela-dewi-bersihkan-permadani-hingga-potong-rumput-di-rumah
11 Mei 2020,"Pandemi Corona Belum Reda, Ibnu Jamil Jualan Bakmi","Adiyoga Priambodo,          Jurnalis&CenterDotSenin 11 Mei 2020 00:03 WIB","  JAKARTA - Ibnu Jamil masuk dalam list artis yang beralih bisnis selama masa pandemi corona saat ini. Sama seperti artis lainnya yang berjualan, Ibnu Jamil memilih untuk berjualan bakmi secara online.  Host acara sepakbola RCTI tersebut membeberkan alasannya memilih jualan bakmi saat ini. Menurutnya, meski saat ini kondisi masyarakat serba terbatas lantaran pandemi covid-19, namun produktifitas dan kreatifitaa jangan sampai tersendat.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Hal tersebut yang membuat Ibnu Jamil membulatkan tekad untuk berjualan bakmi secara online.   Baca Juga: Ulang Tahun saat PSBB, Ibnu Jamil Tiup Kompor ""Gue harus tetap bisa beraktivitas dan punya sesuatu kalau kata keren anak motivator adalah produktif. Jadi gue mau produktif mau dagang mie MantabJon,"" kata Ibnu Jamil dalam telekonfrensi pers.  Menurut Ibnu Jamil, kreatifitas jangan sampai terhenti lantaran musibah pandemi. Ia bahkan mengungkapkan bila orang-orang terdekatnya juga banyak membantu dalam bisnisnya kali ini.  ""Enggak tahu energi dari mana, dari manajer atau dari bokap, gue enggak berhenti dan nggak bisa diem. Bikin apa ya, bikin apa ya, Alhamdulillah gue punya temen-temen, sahabat-sahabat yang sevisi sama gue yang semuanya hayu kita bikin dan jadilah,"" bebernya.                                                     				Ibnu Jamil tak memungkiri bila kondisi pandemi dan psbb yang tak kunjung henti membuat dirinya kebingungan lantaran banyak kegiatan yang dibatalkan. Bahkan, ia mengungkapkan sudah satu bulan terakhir kebingungan lantaran kegiatan yang serba terbatas. ""Karena udah sebulan lebih kita dalam kondisi yang enggak jelas, kerjaan, jujur di kepala gue sempat kayak ada yang hilang di kehidupan gue biasanya ada aktivitas apa. Ini jadi hal yang baru buat gue,"" ujar Ibnu Jamil.   Soal nama, Ibnu memberikan nama bakmi yang dijualnya Mantab Jon sesuai dengan panggilannya terhadap teman-teman terdekat, yakni Jon. Ia juga mematok harga terjangkau 25 ribu rupiah.    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				    Sebelumnya  1 2  Selanjutnya            BERITA FOTO          + 5    Ibnu Jamil Bakal Ramaikan Kompetisi Lari Gratis di Surabaya Bank BRI menggelar ajang kompetisi lari gratis bertajuk BRILian Run 2019.              #Ibnu Jamil  #jualan  #Corona  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/10/33/2211948/pandemi-corona-belum-reda-ibnu-jamil-jualan-bakmi
 9 Mei 2020,"Rayakan Ulang Tahun, Gading Marten Bagikan Sembako pada Pengemudi Taksi","Adiyoga Priambodo,          Jurnalis&CenterDotSabtu 09 Mei 2020 06:23 WIB","   JAKARTA - Ulang tahun Gading Marten kali ini rasanya amat spesial. Setelah sebelumnya mendapatkan ucapan spesial dari Juria Hartmans, Gading Marten juga tidak lupa melakukan kegiatan sosial untuk mensyukuri pertambahan usianya tersebut.  Dalam rangka ulang tahunnya, Gading Marten melakukan kegiatan sosial demi memerangi pandemi corona yang terdampak pada masyarakat menengah kebawah.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Gading Marten membagikan tak kurang dari 1.000 box makanan siap saji dan 888 paket sembako kepada para pengemudi taksi yang penghasilannya terimbas akibat pandemi corona.   Baca Juga: Sweet, Ucapan Manis Juria Hartmans untuk Gading Marten ""Ini adalah kegiatan penggalangan dana yang bertujuan untuk berbagi kepada teman-teman yang membutuhkan di tengah pandemi ini. Kegiatan ini juga untuk meningkatkan solidaritas teman-teman yang cukup beruntung untuk kebutuhan pokoknya kepada orang yang benar-benar berjuang di tengah situasi saat ini,"" ujar Gading Marten.  Adapun sembako yang dibagikan berisi antara lain 5 kg beras, 2 liter beras, tepung terigu 1 kg, teh, kopi, dan sirup, lalu sarden 155 gram, margarin 200 gram, krimer, masker kain, serta 1 bungkus frozen food.  Dalam kegiatannya kali ini, Gading Marten bersama Kuy Entertainment bersama HAP (Hak asasi perut) dalam program Take Action Together Infonite Kindness mengumpulkan donasi sekira 178 juta rupiah yang dibagikan dalam bentuk makanan cepat saji dan juga paket sembako.   Sebelumnya, Gading juga mendapatkan ucapan spesial dari Juria Hartmans yang dikabarkan tengah dekat dengan ayah dari Gempita Nora Marten tersebut.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Tahun 2020, Gading Marten Belum Berencana Lepas Status Duda Potret aktor Gading Marten. (Foto: Instagram @gadiiing)              #Gading marten  #Corona  #Donasi  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/09/33/2211346/rayakan-ulang-tahun-gading-marten-bagikan-sembako-pada-pengemudi-taksi
14 Mei 2020,"Pandemi Belum Usai, Ayu Ting Ting Terpaksa Tunda Konser","Adiyoga Priambodo,          Jurnalis&CenterDotKamis 14 Mei 2020 16:29 WIB","  JAKARTA - Ayu Ting Ting awalnya berencana menggelar konser tunggal di Tennis Indoor Senayan, Jakarta pada 28 Maret 2020. Namun rencana tersebut tampaknya harus tertunda lantaran wabah corona yang merajalela.  Ayu mengungkapkan dalam video youtube channel Ussy Sulistiawaty bahwa ia terpaksa menunda konser tersebut.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Iya, benar konser ditunda, betul, Teh. Kan tadinya Teh Ussy mau nonton juga kan,"" kata Ayu Ting Ting dalam video yang diunggah di saluran YouTube Ussy Sulistiawaty.   Baca Juga: Ayu Ting Ting Sampaikan Duka Didi Kempot Meninggal Dunia Meskipun sudah pasti tertunda, namun Ayu Ting Ting belum bisa menentukan kapan konser penggantinya akan digelar. Ia bahkan memprediksi kemungkinan konsernya baru terlaksana tahun depan.  ""Belum tahu sih, Teh, ditunda sampai kapannya. Tapi kayaknya yang jelas kalau misalnya keadaannya biar pasti baik, kayaknya sih tahun depan deh,"" urai Ayu Ting Ting.                                                   				 Menurutnya, kondisi Indonesia khususnya Jakarta saat ini belum memungkinkan untuk mengadakan konser. ""Karena sampai sekarang kan keadaannya masih begini, kita enggak berani juga,"" lanjutnya. Padahal, Ayu mengungkapkan dirinya sudah menjalani persiapan maksimal termasuk melakukan latihan belly dance.   ""Sudah latihan belly dance, banyak deh, sudah kosong lagi otak gue. Nggak ngerti lagi ya Allah ujiannya sampai begini banget. Yang penting sehat aja sudah,"" tutupnya.    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				    Sebelumnya  1 2  Selanjutnya            BERITA FOTO          + 7   Potret Cantiknya Aktris dan Penyanyi Maudy Ayunda Maudy Ayunda merupakan aktris dan penyanyi yang memiliki paras cantik.              #Ayu Ting Ting  #Corona  #konser  #Artis Indonesia    ",Musik,https://celebrity.okezone.com/read/2020/05/14/205/2214153/pandemi-belum-usai-ayu-ting-ting-terpaksa-tunda-konser
14 Mei 2020,Matt Damon Ketakutan Putrinya Sempat Positif Covid-19,"Adiyoga Priambodo,          Jurnalis&CenterDotKamis 14 Mei 2020 14:04 WIB","  LOS ANGELES - Virus corona memang mampu menyerang siapa saja tanpa pandang bulu. Salah satunya adalah Alexia yang merupakan putri dari Matt Damon.  Matt Damon mengungkapkan dalam sebuah wawancara bagaimana putrinya Alexia Barroso yang tengah kuliah di New York harus ikut terpapar virus corona dan menjalani karantina di New York.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Baca Juga: Kumpulkan Donasi untuk Medis, Ben Affleck-Matt Damon Gelar Turnamen Judi   ""Putri tertua kami ada di kampus, dia berada di New York. Ia terinfeksi COVID-19 baru-baru ini, bersama teman kosannya dan kondisinya baik-baiknya,"" ujarnya dalam sebuah wawancara.  Matt Damon mengungkapkan kondisi putrinya baik-baik saja lantaran Alexia masih berusia muda juga memiliki imun yang kuat.                                                  				Namun, hal tersebut belum tentu terjadi bila virus tersebut terpapar pada orang yang lebih tua dengan imunitas rendah. Matt Damon mengaku bila virus tersebut merupakan virus menakutkan bagi orang berusia lanjut. ""Aku pikir kita telah menerima pesannya sekarang, semua orang menjalani isolasi dan sosial distancing dan semua hal untuk mencegah hal ini namun itu tetaplah menakutkan, khususnya untuk orang-orang tua,"" terang aktor berusia 49 tahun itu.   Meskipun begitu, Matt Damon berencana akan mendatangi New York untuk menemui putrinya jika pandemi virus sudah berakhir.    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				    Sebelumnya  1 2  Selanjutnya            BERITA FOTO          + 5   Keri Russell dan Matthew Rhys Hadir Bersama di The Americans Aktor Matthew Rhys dan aktris Keri Russell menghadiri final serial televisi ""The Americans"" di Los Angeles, California, Amerika Serikat, Rabu 30 Mei 2018 waktu setempat. (REUTERS/Mario Anzuoni)              #Matt Damon  #Alexia  #Corona  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/14/33/2214037/matt-damon-ketakutan-putrinya-sempat-positif-covid-19
13 Mei 2020,"Robert De Niro Ungkap Situasi Lockdown New York, Seperti Kota Hantu","Lintang Tribuana,          Jurnalis&CenterDotRabu 13 Mei 2020 11:17 WIB","  NEW YORK - Amerika Serikat menjadi negara dengan jumlah korban pandemi corona terbesar di dunia. Salah satu kota dengan jumlah korban terbesar adalah New York.  Hingga kini ada lebih dari 82 ribu korban meninggal dunia di Amerika Serikat. Tentu saja hal tersebut menimbulkan kekhawatiran bagi aktor Robert De Niro.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Robert pun mengungkapkan bagaimana situasi kota New York saat ini yang tengah dalam status lockdown.  ""Ini sangat aneh karena New York seperti kota hantu,"" ujar aktor Robert De Niro.   Baca Juga: Robert De Niro Hadiri Pemutaran Perdana The Comedian Bagi Robert, situasi New York saat ini sangat mirip dengan yang terjadi di film-film fiksi yang menjadi kenyataan.  ""Menariknya, yang terlihat sekarang seperti film fiksi ilmiah yang jadi kenyataan,"" imbuhnya.  Rober De Niro juga menyampaikan kritik kepada pemerintahan Amerika di tengah pandemi corona saat ini.   ""Ini mengerikan, dia tampak peduli akan hal ini. Mengetahui ia kembali mencalonkan diri adalah hal yang juga sama mengerikan,"" tukasnya.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 10   Brad Pitt Terbebas dari Tuduhan KDRT Foto dokumentasi Angelina Jolie dan Brad Pitt pada sebuah acara di Los Angeles, 25 Januari 2009 silam. Pusat Pelayanan Anak dan Keluarga Los Angeles/CDFS menyatakan Brad Pitt tidak bersalah atas tuduhan kekerasan terhadap anaknya, Maddox. (REUTERS/Mario Anzuoni)              #Robert de Niro  #Corona  #New York  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/13/33/2213313/robert-de-niro-ungkap-situasi-lockdown-new-york-seperti-kota-hantu
Tidak Ditemukan,Bryan Adams Minta Maaf Soal Cuitan Rasis Selama Pandemi,"Lintang Tribuana,          Jurnalis&CenterDotRabu 13 Mei 2020 11:04 WIB","  LOS ANGELES - Belum lama ini Bryan Adams menjadi sasaran nyinyir netizen lantaran mengunggah cuitan bernada rasis di tengah pandemi corona.  Bryan Adams lantas memberikan pernyataan maaf atas cuitannya yang bernada rasis tersebut. Bryan Adams membuat unggahan sambil menampilkan akustik 'Into The Fire', dia minta maaf.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Permintaan maaf untuk semua yang tersinggung karena unggahanku kemarin,"" katanya.  Baca Juga: Bon Jovi Batalkan Tur Bareng Bryan Adams karena Corona  Dilansir CNN, Rabu (13/5/2020), Adams seharusnya saat ini tampil di Royal Albert Hall, London. Namun karena pandemi, banyak pekerjaan Bryan Adams banyak yang tertunda atau dibatalkan.  ""Tidak ada pembelaan. Aku hanya ingin berkeluh kesah soal kekejaman hewan di pasar gelap yang mungkin jadi sumber virus serta mengkampanyekan veganisme,"" tambah Adams  Sebelumnya, cuitan Bryan Adams yang menyalahkan orang yang mengkonsumsi kelelawar akibat penyebab pandemi corona menuai kontroversi.   ""Malam ini seharusnya menjadi awal pertunjukan di Royal Albert Hall tapi terima kasih pada para pemakan kelelawar, pasar penjual hewan yang mengakibatkan virus, kini seluruh dunia terhambat dan ribuan orang menderita dan meninggal akibat virus ini. Selain 'terima kasih banyak', pesanku kepada mereka adalah jadilah vegan,"" demikian bunyi cuitan Bryan Adams yang kini sudah dihapus.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Film Kutuk, Bryan McKenzie Jadi Pemuda yang Sering Beramal untuk Panti Jompo Pemain Film Kutuk, Bryan McKenzie pada sesi pemotretan saat media visit ke Kantor Redaksi Okezone, Jakarta.              #Bryan Adams  #Rasis  #Corona  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/05/13/33/2213305/bryan-adams-minta-maaf-soal-cuitan-rasis-selama-pandemi
